time,tl_id,current_phase,queue_len,action
10,cluster_1345077844_2589681474_8228683608_8228683609,0,2,HOLD
13,cluster_1345077844_2589681474_8228683608_8228683609,0,2,HOLD
16,cluster_1345077844_2589681474_8228683608_8228683609,0,1,CHANGE_DEMAND
28,cluster_1345077844_2589681474_8228683608_8228683609,4,2,CHANGE_DEMAND
40,cluster_1345077844_2589681474_8228683608_8228683609,2,2,CHANGE_DEMAND
52,cluster_1345077844_2589681474_8228683608_8228683609,6,0,CHANGE_DEMAND
64,cluster_1345077844_2589681474_8228683608_8228683609,0,1,CHANGE_DEMAND
76,cluster_1345077844_2589681474_8228683608_8228683609,2,2,CHANGE_DEMAND
88,cluster_1345077844_2589681474_8228683608_8228683609,4,4,CHANGE_DEMAND
100,cluster_1345077844_2589681474_8228683608_8228683609,0,3,CHANGE_DEMAND
112,cluster_1345077844_2589681474_8228683608_8228683609,2,1,CHANGE_DEMAND
124,cluster_1345077844_2589681474_8228683608_8228683609,4,0,CHANGE_DEMAND
136,cluster_1345077844_2589681474_8228683608_8228683609,0,4,CHANGE_DEMAND
148,cluster_1345077844_2589681474_8228683608_8228683609,6,2,CHANGE_DEMAND
160,cluster_1345077844_2589681474_8228683608_8228683609,0,1,CHANGE_DEMAND
172,cluster_1345077844_2589681474_8228683608_8228683609,2,2,CHANGE_DEMAND
184,cluster_1345077844_2589681474_8228683608_8228683609,4,5,HOLD
187,cluster_1345077844_2589681474_8228683608_8228683609,4,5,HOLD
190,cluster_1345077844_2589681474_8228683608_8228683609,4,3,CHANGE_DEMAND
202,cluster_1345077844_2589681474_8228683608_8228683609,0,2,CHANGE_DEMAND
214,cluster_1345077844_2589681474_8228683608_8228683609,6,0,CHANGE_DEMAND
226,cluster_1345077844_2589681474_8228683608_8228683609,2,1,CHANGE_DEMAND
238,cluster_1345077844_2589681474_8228683608_8228683609,4,3,CHANGE_DEMAND
250,cluster_1345077844_2589681474_8228683608_8228683609,2,0,CHANGE_DEMAND
262,cluster_1345077844_2589681474_8228683608_8228683609,4,5,HOLD
265,cluster_1345077844_2589681474_8228683608_8228683609,4,4,CHANGE_DEMAND
277,cluster_1345077844_2589681474_8228683608_8228683609,0,4,CHANGE_DEMAND
289,cluster_1345077844_2589681474_8228683608_8228683609,4,6,CHANGE_DEMAND
301,cluster_1345077844_2589681474_8228683608_8228683609,6,3,CHANGE_DEMAND
313,cluster_1345077844_2589681474_8228683608_8228683609,4,4,CHANGE_DEMAND
325,cluster_1345077844_2589681474_8228683608_8228683609,0,5,CHANGE_DEMAND
337,cluster_1345077844_2589681474_8228683608_8228683609,6,1,CHANGE_DEMAND
349,cluster_1345077844_2589681474_8228683608_8228683609,0,1,CHANGE_DEMAND
361,cluster_1345077844_2589681474_8228683608_8228683609,4,2,CHANGE_DEMAND
373,cluster_1345077844_2589681474_8228683608_8228683609,6,0,CHANGE_DEMAND
385,cluster_1345077844_2589681474_8228683608_8228683609,2,2,CHANGE_DEMAND
397,cluster_1345077844_2589681474_8228683608_8228683609,0,2,CHANGE_DEMAND
409,cluster_1345077844_2589681474_8228683608_8228683609,4,3,CHANGE_DEMAND
421,cluster_1345077844_2589681474_8228683608_8228683609,0,0,CHANGE_DEMAND
433,cluster_1345077844_2589681474_8228683608_8228683609,2,2,CHANGE_DEMAND
445,cluster_1345077844_2589681474_8228683608_8228683609,6,2,CHANGE_DEMAND
457,cluster_1345077844_2589681474_8228683608_8228683609,2,2,CHANGE_DEMAND
469,cluster_1345077844_2589681474_8228683608_8228683609,4,0,CHANGE_DEMAND
481,cluster_1345077844_2589681474_8228683608_8228683609,2,0,CHANGE_DEMAND
493,cluster_1345077844_2589681474_8228683608_8228683609,6,0,CHANGE_DEMAND
505,cluster_1345077844_2589681474_8228683608_8228683609,0,2,CHANGE_DEMAND
517,cluster_1345077844_2589681474_8228683608_8228683609,4,1,CHANGE_DEMAND
529,cluster_1345077844_2589681474_8228683608_8228683609,0,3,CHANGE_DEMAND
541,cluster_1345077844_2589681474_8228683608_8228683609,4,3,CHANGE_DEMAND
553,cluster_1345077844_2589681474_8228683608_8228683609,6,0,CHANGE_DEMAND
565,cluster_1345077844_2589681474_8228683608_8228683609,4,3,CHANGE_DEMAND
577,cluster_1345077844_2589681474_8228683608_8228683609,0,4,CHANGE_DEMAND
589,cluster_1345077844_2589681474_8228683608_8228683609,4,1,CHANGE_DEMAND
601,cluster_1345077844_2589681474_8228683608_8228683609,0,4,HOLD
604,cluster_1345077844_2589681474_8228683608_8228683609,0,2,CHANGE_DEMAND
616,cluster_1345077844_2589681474_8228683608_8228683609,2,1,CHANGE_DEMAND
628,cluster_1345077844_2589681474_8228683608_8228683609,6,0,CHANGE_DEMAND
640,cluster_1345077844_2589681474_8228683608_8228683609,2,0,CHANGE_DEMAND
652,cluster_1345077844_2589681474_8228683608_8228683609,0,0,CHANGE_DEMAND
664,cluster_1345077844_2589681474_8228683608_8228683609,4,2,CHANGE_DEMAND
676,cluster_1345077844_2589681474_8228683608_8228683609,2,0,CHANGE_DEMAND
688,cluster_1345077844_2589681474_8228683608_8228683609,4,1,CHANGE_DEMAND
700,cluster_1345077844_2589681474_8228683608_8228683609,6,2,HOLD
703,cluster_1345077844_2589681474_8228683608_8228683609,6,2,HOLD
706,cluster_1345077844_2589681474_8228683608_8228683609,6,2,HOLD
709,cluster_1345077844_2589681474_8228683608_8228683609,6,1,CHANGE_DEMAND
721,cluster_1345077844_2589681474_8228683608_8228683609,4,1,CHANGE_DEMAND
733,cluster_1345077844_2589681474_8228683608_8228683609,2,0,CHANGE_DEMAND
745,cluster_1345077844_2589681474_8228683608_8228683609,0,1,CHANGE_DEMAND
757,cluster_1345077844_2589681474_8228683608_8228683609,6,0,CHANGE_DEMAND
769,cluster_1345077844_2589681474_8228683608_8228683609,4,2,CHANGE_DEMAND
781,cluster_1345077844_2589681474_8228683608_8228683609,0,0,CHANGE_DEMAND
793,cluster_1345077844_2589681474_8228683608_8228683609,2,1,CHANGE_DEMAND
805,cluster_1345077844_2589681474_8228683608_8228683609,4,2,CHANGE_DEMAND
817,cluster_1345077844_2589681474_8228683608_8228683609,0,2,CHANGE_DEMAND
829,cluster_1345077844_2589681474_8228683608_8228683609,6,0,CHANGE_DEMAND
841,cluster_1345077844_2589681474_8228683608_8228683609,0,1,CHANGE_DEMAND
853,cluster_1345077844_2589681474_8228683608_8228683609,4,3,CHANGE_DEMAND
865,cluster_1345077844_2589681474_8228683608_8228683609,2,0,CHANGE_DEMAND
877,cluster_1345077844_2589681474_8228683608_8228683609,4,0,CHANGE_DEMAND
889,cluster_1345077844_2589681474_8228683608_8228683609,6,1,CHANGE_DEMAND
901,cluster_1345077844_2589681474_8228683608_8228683609,2,0,CHANGE_DEMAND
913,cluster_1345077844_2589681474_8228683608_8228683609,6,1,CHANGE_DEMAND
925,cluster_1345077844_2589681474_8228683608_8228683609,0,1,CHANGE_DEMAND
937,cluster_1345077844_2589681474_8228683608_8228683609,6,0,CHANGE_DEMAND
