time,tl_id,current_phase,queue_len,action,camera_detected
1,cluster_1345077844_2589681474_8228683608_8228683609,0,0,HOLD,11
4,cluster_1345077844_2589681474_8228683608_8228683609,0,1,HOLD,11
7,cluster_1345077844_2589681474_8228683608_8228683609,0,1,HOLD,12
10,cluster_1345077844_2589681474_8228683608_8228683609,0,2,CHANGE_DEMAND,12
13,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,10
16,cluster_1345077844_2589681474_8228683608_8228683609,6,5,HOLD,10
19,cluster_1345077844_2589681474_8228683608_8228683609,6,4,HOLD,11
22,cluster_1345077844_2589681474_8228683608_8228683609,6,4,HOLD,11
25,cluster_1345077844_2589681474_8228683608_8228683609,6,4,CHANGE_DEMAND,11
28,cluster_1345077844_2589681474_8228683608_8228683609,2,3,HOLD,13
31,cluster_1345077844_2589681474_8228683608_8228683609,2,2,HOLD,11
34,cluster_1345077844_2589681474_8228683608_8228683609,2,1,HOLD,11
37,cluster_1345077844_2589681474_8228683608_8228683609,2,0,CHANGE_DEMAND,10
40,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,10
43,cluster_1345077844_2589681474_8228683608_8228683609,6,7,HOLD,10
46,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,12
49,cluster_1345077844_2589681474_8228683608_8228683609,6,5,CHANGE_DEMAND,11
52,cluster_1345077844_2589681474_8228683608_8228683609,4,6,HOLD,11
55,cluster_1345077844_2589681474_8228683608_8228683609,4,5,HOLD,11
58,cluster_1345077844_2589681474_8228683608_8228683609,4,4,HOLD,11
61,cluster_1345077844_2589681474_8228683608_8228683609,4,2,CHANGE_DEMAND,11
64,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,12
67,cluster_1345077844_2589681474_8228683608_8228683609,6,7,HOLD,12
70,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,12
73,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,12
76,cluster_1345077844_2589681474_8228683608_8228683609,0,7,HOLD,13
79,cluster_1345077844_2589681474_8228683608_8228683609,0,7,HOLD,13
82,cluster_1345077844_2589681474_8228683608_8228683609,0,6,HOLD,12
85,cluster_1345077844_2589681474_8228683608_8228683609,0,5,CHANGE_DEMAND,11
88,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,11
91,cluster_1345077844_2589681474_8228683608_8228683609,6,8,HOLD,10
94,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,10
97,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,10
100,cluster_1345077844_2589681474_8228683608_8228683609,0,7,HOLD,10
103,cluster_1345077844_2589681474_8228683608_8228683609,0,6,HOLD,11
106,cluster_1345077844_2589681474_8228683608_8228683609,0,4,HOLD,10
109,cluster_1345077844_2589681474_8228683608_8228683609,0,4,CHANGE_DEMAND,0
112,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
115,cluster_1345077844_2589681474_8228683608_8228683609,6,8,HOLD,0
118,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,0
121,cluster_1345077844_2589681474_8228683608_8228683609,6,5,CHANGE_DEMAND,0
124,cluster_1345077844_2589681474_8228683608_8228683609,4,7,HOLD,0
127,cluster_1345077844_2589681474_8228683608_8228683609,4,7,HOLD,0
130,cluster_1345077844_2589681474_8228683608_8228683609,4,5,HOLD,0
133,cluster_1345077844_2589681474_8228683608_8228683609,4,5,CHANGE_DEMAND,0
136,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
139,cluster_1345077844_2589681474_8228683608_8228683609,6,7,HOLD,0
142,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,0
145,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,0
148,cluster_1345077844_2589681474_8228683608_8228683609,0,9,HOLD,0
151,cluster_1345077844_2589681474_8228683608_8228683609,0,8,HOLD,0
154,cluster_1345077844_2589681474_8228683608_8228683609,0,6,HOLD,0
157,cluster_1345077844_2589681474_8228683608_8228683609,0,5,CHANGE_DEMAND,0
160,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
163,cluster_1345077844_2589681474_8228683608_8228683609,6,8,HOLD,0
