time,tl_id,current_phase,current_demand,best_phase,best_demand,action
3,cluster_1345077844_2589681474_8228683608_8228683609,0,1,2,2,HOLD
6,cluster_1345077844_2589681474_8228683608_8228683609,2,2,2,3,CHANGE
9,cluster_1345077844_2589681474_8228683608_8228683609,2,1,0,3,HOLD
12,cluster_1345077844_2589681474_8228683608_8228683609,0,2,0,4,CHANGE
15,cluster_1345077844_2589681474_8228683608_8228683609,0,3,6,5,HOLD
18,cluster_1345077844_2589681474_8228683608_8228683609,6,2,6,5,CHANGE
21,cluster_1345077844_2589681474_8228683608_8228683609,6,4,2,5,HOLD
24,cluster_1345077844_2589681474_8228683608_8228683609,2,2,2,6,CHANGE
27,cluster_1345077844_2589681474_8228683608_8228683609,2,4,4,6,HOLD
30,cluster_1345077844_2589681474_8228683608_8228683609,4,3,4,7,CHANGE
33,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,7,HOLD
36,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,7,HOLD
39,cluster_1345077844_2589681474_8228683608_8228683609,6,6,6,7,CHANGE
42,cluster_1345077844_2589681474_8228683608_8228683609,6,7,4,7,HOLD
45,cluster_1345077844_2589681474_8228683608_8228683609,4,6,4,8,CHANGE
48,cluster_1345077844_2589681474_8228683608_8228683609,4,8,0,8,HOLD
51,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,9,CHANGE
54,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
57,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
60,cluster_1345077844_2589681474_8228683608_8228683609,6,7,6,11,CHANGE
63,cluster_1345077844_2589681474_8228683608_8228683609,6,9,4,9,HOLD
66,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,10,CHANGE
69,cluster_1345077844_2589681474_8228683608_8228683609,4,9,0,10,HOLD
72,cluster_1345077844_2589681474_8228683608_8228683609,0,8,0,11,CHANGE
75,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
78,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
81,cluster_1345077844_2589681474_8228683608_8228683609,6,10,0,10,HOLD
84,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,11,CHANGE
87,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
90,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
93,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
96,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
99,cluster_1345077844_2589681474_8228683608_8228683609,6,9,0,10,HOLD
102,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,11,CHANGE
105,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
108,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
111,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
114,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
117,cluster_1345077844_2589681474_8228683608_8228683609,0,9,4,10,HOLD
120,cluster_1345077844_2589681474_8228683608_8228683609,6,8,6,12,CHANGE
123,cluster_1345077844_2589681474_8228683608_8228683609,6,10,4,10,HOLD
126,cluster_1345077844_2589681474_8228683608_8228683609,0,8,0,10,CHANGE
129,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
132,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
135,cluster_1345077844_2589681474_8228683608_8228683609,4,8,4,10,CHANGE
138,cluster_1345077844_2589681474_8228683608_8228683609,4,9,6,10,HOLD
141,cluster_1345077844_2589681474_8228683608_8228683609,0,8,0,10,CHANGE
144,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
147,cluster_1345077844_2589681474_8228683608_8228683609,0,10,6,11,HOLD
150,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
153,cluster_1345077844_2589681474_8228683608_8228683609,6,9,0,10,HOLD
156,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,11,CHANGE
159,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
162,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
165,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
168,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
171,cluster_1345077844_2589681474_8228683608_8228683609,0,10,6,11,HOLD
174,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,12,CHANGE
177,cluster_1345077844_2589681474_8228683608_8228683609,6,10,0,10,HOLD
180,cluster_1345077844_2589681474_8228683608_8228683609,0,8,0,10,CHANGE
183,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
186,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
189,cluster_1345077844_2589681474_8228683608_8228683609,0,10,6,11,HOLD
192,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
195,cluster_1345077844_2589681474_8228683608_8228683609,6,9,0,10,HOLD
198,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,11,CHANGE
201,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
204,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
207,cluster_1345077844_2589681474_8228683608_8228683609,0,10,6,11,HOLD
210,cluster_1345077844_2589681474_8228683608_8228683609,6,10,6,12,CHANGE
213,cluster_1345077844_2589681474_8228683608_8228683609,6,10,0,11,HOLD
216,cluster_1345077844_2589681474_8228683608_8228683609,0,8,0,12,CHANGE
219,cluster_1345077844_2589681474_8228683608_8228683609,0,12,0,12,HOLD
222,cluster_1345077844_2589681474_8228683608_8228683609,0,12,0,12,HOLD
225,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
228,cluster_1345077844_2589681474_8228683608_8228683609,0,9,6,10,HOLD
231,cluster_1345077844_2589681474_8228683608_8228683609,6,8,6,10,CHANGE
234,cluster_1345077844_2589681474_8228683608_8228683609,6,8,4,9,HOLD
237,cluster_1345077844_2589681474_8228683608_8228683609,0,6,0,9,CHANGE
240,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
243,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
246,cluster_1345077844_2589681474_8228683608_8228683609,6,6,6,10,CHANGE
249,cluster_1345077844_2589681474_8228683608_8228683609,6,9,4,9,HOLD
252,cluster_1345077844_2589681474_8228683608_8228683609,6,8,4,9,HOLD
255,cluster_1345077844_2589681474_8228683608_8228683609,0,6,0,9,CHANGE
258,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
261,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
264,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
267,cluster_1345077844_2589681474_8228683608_8228683609,6,9,0,10,HOLD
270,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,11,CHANGE
273,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
276,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
279,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
282,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
285,cluster_1345077844_2589681474_8228683608_8228683609,0,9,6,10,HOLD
288,cluster_1345077844_2589681474_8228683608_8228683609,0,9,6,10,HOLD
291,cluster_1345077844_2589681474_8228683608_8228683609,0,9,6,10,HOLD
294,cluster_1345077844_2589681474_8228683608_8228683609,6,8,6,10,CHANGE
297,cluster_1345077844_2589681474_8228683608_8228683609,6,8,4,9,HOLD
300,cluster_1345077844_2589681474_8228683608_8228683609,0,5,0,9,CHANGE
303,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
306,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
309,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
312,cluster_1345077844_2589681474_8228683608_8228683609,6,7,6,10,CHANGE
315,cluster_1345077844_2589681474_8228683608_8228683609,6,9,4,9,HOLD
318,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,9,CHANGE
